date,real_estate
2005-01-01,0.0
2005-01-02,0.0
2005-01-03,23.4445858001709
2005-01-04,23.092226028442383
2005-01-05,22.3245792388916
2005-01-06,22.49657440185547
2005-01-07,22.446231842041016
2005-01-08,22.446231842041016
2005-01-09,22.446231842041016
2005-01-10,22.374919891357422
2005-01-11,22.148393630981445
2005-01-12,22.043527603149414
2005-01-13,22.043527603149414
2005-01-14,22.316192626953125
2005-01-15,22.316192626953125
2005-01-16,22.316192626953125
2005-01-17,22.316192626953125
2005-01-18,22.53432273864746
2005-01-19,22.555294036865234
2005-01-20,22.48398208618164
2005-01-21,22.504959106445312
2005-01-22,22.504959106445312
2005-01-23,22.504959106445312
2005-01-24,22.3245792388916
2005-01-25,21.905101776123047
2005-01-26,21.837984085083008
2005-01-27,21.682777404785156
2005-01-28,21.716337203979492
2005-01-29,21.716337203979492
2005-01-30,21.716337203979492
2005-01-31,21.6911678314209
2005-02-01,21.850566864013672
2005-02-02,22.093862533569336
2005-02-03,22.16098403930664
2005-02-04,22.463003158569336
2005-02-05,22.463003158569336
2005-02-06,22.463003158569336
2005-02-07,22.38750457763672
2005-02-08,22.44203758239746
2005-02-09,22.58466339111328
2005-02-10,22.756633758544922
2005-02-11,22.82375717163086
2005-02-12,22.82375717163086
2005-02-13,22.82375717163086
2005-02-14,22.827951431274414
2005-02-15,22.928621292114258
2005-02-16,23.062868118286133
2005-02-17,23.046077728271484
2005-02-18,22.844728469848633
2005-02-19,22.844728469848633
2005-02-20,22.844728469848633
2005-02-21,22.844728469848633
2005-02-22,22.190343856811523
2005-02-23,22.106456756591797
2005-02-24,22.123228073120117
2005-02-25,22.44203758239746
2005-02-26,22.44203758239746
2005-02-27,22.44203758239746
2005-02-28,22.379093170166016
2005-03-01,22.614025115966797
2005-03-02,22.463003158569336
2005-03-03,22.58466339111328
2005-03-04,23.008323669433594
2005-03-05,23.008323669433594
2005-03-06,23.008323669433594
2005-03-07,23.11738395690918
2005-03-08,22.987356185913086
2005-03-09,22.33716583251953
2005-03-10,22.48817253112793
2005-03-11,22.23649024963379
2005-03-12,22.23649024963379
2005-03-13,22.23649024963379
2005-03-14,22.54690170288086
2005-03-15,22.51753807067871
2005-03-16,22.24907684326172
2005-03-17,22.48398208618164
2005-03-18,22.404279708862305
2005-03-19,22.404279708862305
2005-03-20,22.404279708862305
2005-03-21,22.253263473510742
2005-03-22,21.854755401611328
2005-03-23,21.81700897216797
2005-03-24,21.861162185668945
2005-03-25,21.861162185668945
2005-03-26,21.861162185668945
2005-03-27,21.861162185668945
2005-03-28,21.75078773498535
2005-03-29,21.75927734375
2005-03-30,22.04793357849121
2005-03-31,21.996992111206055
2005-04-01,22.009721755981445
2005-04-02,22.009721755981445
2005-04-03,22.009721755981445
2005-04-04,21.912092208862305
2005-04-05,21.861162185668945
2005-04-06,21.975770950317383
2005-04-07,22.175283432006836
2005-04-08,22.073406219482422
2005-04-09,22.073406219482422
2005-04-10,22.073406219482422
2005-04-11,22.094623565673828
2005-04-12,22.391769409179688
2005-04-13,22.417240142822266
2005-04-14,22.204988479614258
2005-04-15,22.370553970336914
2005-04-16,22.370553970336914
2005-04-17,22.370553970336914
2005-04-18,22.33658218383789
2005-04-19,22.446950912475586
2005-04-20,22.391769409179688
2005-04-21,22.387521743774414
2005-04-22,22.561565399169922
2005-04-23,22.561565399169922
2005-04-24,22.561565399169922
2005-04-25,22.80776596069336
2005-04-26,22.837474822998047
2005-04-27,23.01576805114746
2005-04-28,22.960590362548828
2005-04-29,23.26621437072754
2005-04-30,23.26621437072754
2005-05-01,23.26621437072754
2005-05-02,23.249231338500977
2005-05-03,23.283187866210938
2005-05-04,23.304414749145508
2005-05-05,23.601552963256836
2005-05-06,23.304414749145508
2005-05-07,23.304414749145508
2005-05-08,23.304414749145508
2005-05-09,23.707679748535156
2005-05-10,23.707679748535156
2005-05-11,23.720417022705078
2005-05-12,23.482707977294922
2005-05-13,23.47421646118164
2005-05-14,23.47421646118164
2005-05-15,23.47421646118164
2005-05-16,23.58458137512207
2005-05-17,23.792585372924805
2005-05-18,24.02605438232422
2005-05-19,24.344411849975586
2005-05-20,24.39536476135254
2005-05-21,24.39536476135254
2005-05-22,24.39536476135254
2005-05-23,24.45052719116211
2005-05-24,24.11094093322754
2005-05-25,23.813798904418945
2005-05-26,23.711915969848633
2005-05-27,23.835039138793945
2005-05-28,23.835039138793945
2005-05-29,23.835039138793945
2005-05-30,23.835039138793945
2005-05-31,24.085491180419922
2005-06-01,24.36139678955078
2005-06-02,24.27649688720703
2005-06-03,24.280750274658203
2005-06-04,24.280750274658203
2005-06-05,24.280750274658203
2005-06-06,24.4632625579834
2005-06-07,24.67127227783203
2005-06-08,24.77314567565918
2005-06-09,24.798612594604492
2005-06-10,24.7476749420166
2005-06-11,24.7476749420166
2005-06-12,24.7476749420166
2005-06-13,24.86229705810547
2005-06-14,25.066051483154297
2005-06-15,25.121231079101562
2005-06-16,25.146699905395508
2005-06-17,25.431116104125977
2005-06-18,25.431116104125977
2005-06-19,25.431116104125977
2005-06-20,25.409873962402344
2005-06-21,25.19339942932129
2005-06-22,25.15518569946289
2005-06-23,25.066051483154297
2005-06-24,25.015108108520508
2005-06-25,25.015108108520508
2005-06-26,25.015108108520508
2005-06-27,24.98248863220215
2005-06-28,25.106952667236328
2005-06-29,25.188486099243164
2005-06-30,25.192785263061523
2005-07-01,25.40737533569336
2005-07-02,25.40737533569336
2005-07-03,25.40737533569336
2005-07-04,25.40737533569336
2005-07-05,25.72926139831543
