date,kr_interest
2005-10-18,5.22
2005-10-19,5.22
2005-10-20,5.22
2005-10-21,5.22
2005-10-22,5.22
2005-10-23,5.22
2005-10-24,5.22
2005-10-25,5.22
2005-10-26,5.22
2005-10-27,5.22
2005-10-28,5.22
2005-10-29,5.22
2005-10-30,5.22
2005-10-31,5.22
2005-11-01,5.58
2005-11-02,5.58
2005-11-03,5.58
2005-11-04,5.58
2005-11-05,5.58
2005-11-06,5.58
2005-11-07,5.58
2005-11-08,5.58
2005-11-09,5.58
2005-11-10,5.58
2005-11-11,5.58
2005-11-12,5.58
2005-11-13,5.58
2005-11-14,5.58
2005-11-15,5.58
2005-11-16,5.58
2005-11-17,5.58
2005-11-18,5.58
2005-11-19,5.58
2005-11-20,5.58
2005-11-21,5.58
2005-11-22,5.58
2005-11-23,5.58
2005-11-24,5.58
2005-11-25,5.58
2005-11-26,5.58
2005-11-27,5.58
2005-11-28,5.58
2005-11-29,5.58
2005-11-30,5.58
2005-12-01,5.5
2005-12-02,5.5
2005-12-03,5.5
2005-12-04,5.5
2005-12-05,5.5
2005-12-06,5.5
2005-12-07,5.5
2005-12-08,5.5
2005-12-09,5.5
2005-12-10,5.5
2005-12-11,5.5
2005-12-12,5.5
2005-12-13,5.5
2005-12-14,5.5
2005-12-15,5.5
2005-12-16,5.5
2005-12-17,5.5
2005-12-18,5.5
2005-12-19,5.5
2005-12-20,5.5
2005-12-21,5.5
2005-12-22,5.5
2005-12-23,5.5
2005-12-24,5.5
2005-12-25,5.5
2005-12-26,5.5
2005-12-27,5.5
2005-12-28,5.5
2005-12-29,5.5
2005-12-30,5.5
2005-12-31,5.5
2006-01-01,5.46
2006-01-02,5.46
2006-01-03,5.46
2006-01-04,5.46
2006-01-05,5.46
2006-01-06,5.46
2006-01-07,5.46
2006-01-08,5.46
2006-01-09,5.46
2006-01-10,5.46
2006-01-11,5.46
2006-01-12,5.46
2006-01-13,5.46
2006-01-14,5.46
2006-01-15,5.46
2006-01-16,5.46
2006-01-17,5.46
2006-01-18,5.46
2006-01-19,5.46
2006-01-20,5.46
2006-01-21,5.46
2006-01-22,5.46
2006-01-23,5.46
2006-01-24,5.46
2006-01-25,5.46
2006-01-26,5.46
2006-01-27,5.46
2006-01-28,5.46
2006-01-29,5.46
2006-01-30,5.46
2006-01-31,5.46
2006-02-01,5.17
2006-02-02,5.17
2006-02-03,5.17
2006-02-04,5.17
2006-02-05,5.17
2006-02-06,5.17
2006-02-07,5.17
2006-02-08,5.17
2006-02-09,5.17
2006-02-10,5.17
2006-02-11,5.17
2006-02-12,5.17
2006-02-13,5.17
2006-02-14,5.17
2006-02-15,5.17
2006-02-16,5.17
2006-02-17,5.17
2006-02-18,5.17
2006-02-19,5.17
2006-02-20,5.17
2006-02-21,5.17
2006-02-22,5.17
2006-02-23,5.17
2006-02-24,5.17
2006-02-25,5.17
2006-02-26,5.17
2006-02-27,5.17
2006-02-28,5.17
2006-03-01,5.22
2006-03-02,5.22
2006-03-03,5.22
2006-03-04,5.22
2006-03-05,5.22
2006-03-06,5.22
2006-03-07,5.22
2006-03-08,5.22
2006-03-09,5.22
2006-03-10,5.22
2006-03-11,5.22
2006-03-12,5.22
2006-03-13,5.22
2006-03-14,5.22
2006-03-15,5.22
2006-03-16,5.22
2006-03-17,5.22
2006-03-18,5.22
2006-03-19,5.22
2006-03-20,5.22
2006-03-21,5.22
2006-03-22,5.22
2006-03-23,5.22
2006-03-24,5.22
2006-03-25,5.22
2006-03-26,5.22
2006-03-27,5.22
2006-03-28,5.22
2006-03-29,5.22
2006-03-30,5.22
2006-03-31,5.22
2006-04-01,5.25
2006-04-02,5.25
2006-04-03,5.25
2006-04-04,5.25
2006-04-05,5.25
2006-04-06,5.25
2006-04-07,5.25
2006-04-08,5.25
2006-04-09,5.25
2006-04-10,5.25
2006-04-11,5.25
2006-04-12,5.25
2006-04-13,5.25
2006-04-14,5.25
2006-04-15,5.25
2006-04-16,5.25
2006-04-17,5.25
2006-04-18,5.25
2006-04-19,5.25
2006-04-20,5.25
2006-04-21,5.25
2006-04-22,5.25
2006-04-23,5.25
2006-04-24,5.25
2006-04-25,5.25
2006-04-26,5.25
2006-04-27,5.25
2006-04-28,5.25
2006-04-29,5.25
2006-04-30,5.25
2006-05-01,5.04
2006-05-02,5.04
2006-05-03,5.04
2006-05-04,5.04
2006-05-05,5.04
2006-05-06,5.04
2006-05-07,5.04
2006-05-08,5.04
2006-05-09,5.04
2006-05-10,5.04
2006-05-11,5.04
2006-05-12,5.04
2006-05-13,5.04
2006-05-14,5.04
2006-05-15,5.04
2006-05-16,5.04
2006-05-17,5.04
2006-05-18,5.04
2006-05-19,5.04
2006-05-20,5.04
2006-05-21,5.04
2006-05-22,5.04
2006-05-23,5.04
2006-05-24,5.04
2006-05-25,5.04
2006-05-26,5.04
2006-05-27,5.04
2006-05-28,5.04
2006-05-29,5.04
2006-05-30,5.04
2006-05-31,5.04
2006-06-01,5.13
2006-06-02,5.13
2006-06-03,5.13
2006-06-04,5.13
2006-06-05,5.13
2006-06-06,5.13
2006-06-07,5.13
2006-06-08,5.13
2006-06-09,5.13
2006-06-10,5.13
2006-06-11,5.13
2006-06-12,5.13
2006-06-13,5.13
2006-06-14,5.13
2006-06-15,5.13
2006-06-16,5.13
2006-06-17,5.13
2006-06-18,5.13
2006-06-19,5.13
2006-06-20,5.13
2006-06-21,5.13
2006-06-22,5.13
2006-06-23,5.13
2006-06-24,5.13
2006-06-25,5.13
2006-06-26,5.13
2006-06-27,5.13
2006-06-28,5.13
2006-06-29,5.13
2006-06-30,5.13
2006-07-01,5.07
2006-07-02,5.07
2006-07-03,5.07
2006-07-04,5.07
2006-07-05,5.07
2006-07-06,5.07
2006-07-07,5.07
2006-07-08,5.07
2006-07-09,5.07
2006-07-10,5.07
2006-07-11,5.07
2006-07-12,5.07
2006-07-13,5.07
2006-07-14,5.07
2006-07-15,5.07
2006-07-16,5.07
2006-07-17,5.07
2006-07-18,5.07
2006-07-19,5.07
2006-07-20,5.07
2006-07-21,5.07
2006-07-22,5.07
2006-07-23,5.07
2006-07-24,5.07
